tot_purch_amt,sale_month,cty_twnshp_nme,crv_nbr,df.sale_year,dates,quarter
530000,6,Minneapolis,673957,2017,2017-10-13,Q4-2017
50000,6,Minneapolis,673963,2017,2017-10-20,Q4-2017
173300,6,Minneapolis,673990,2017,2017-10-18,Q4-2017
226500,6,Minneapolis,674004,2017,2017-09-20,Q3-2017
240000,6,Minneapolis,674024,2017,2017-10-13,Q4-2017
728250,6,Minneapolis,674038,2017,2017-10-18,Q4-2017
169900,6,St. Paul,674040,2017,2017-08-01,Q3-2017
308000,6,Minneapolis,674046,2017,2017-09-20,Q3-2017
425000,6,Minneapolis,674049,2017,2017-10-13,Q4-2017
149900,6,Minneapolis,674070,2017,2017-09-20,Q3-2017
179900,6,Minneapolis,674102,2017,2017-10-18,Q4-2017
230000,6,St. Paul,674107,2017,2017-07-20,Q3-2017
181000,6,Minneapolis,674108,2017,2017-10-20,Q4-2017
259800,6,St. Paul,674135,2017,2017-11-06,Q4-2017
385000,6,Minneapolis,674138,2017,2017-10-18,Q4-2017
415000,6,Minneapolis,674140,2017,2017-10-13,Q4-2017
160000,6,St. Paul,674149,2017,2017-10-12,Q4-2017
176000,6,St. Paul,674170,2017,2017-07-18,Q3-2017
5.00E+05,6,Minneapolis,674177,2017,2017-10-13,Q4-2017
205000,9,Minneapolis,674185,2017,2017-10-20,Q4-2017
177500,6,Minneapolis,674192,2017,2017-09-20,Q3-2017
317300,6,St. Paul,674206,2017,2017-07-18,Q3-2017
335000,6,Minneapolis,674223,2017,2017-09-21,Q3-2017
139700,6,Minneapolis,674233,2017,2017-09-21,Q3-2017
293500,6,Minneapolis,674236,2017,2017-08-25,Q3-2017
275000,6,Minneapolis,674237,2017,2017-10-13,Q4-2017
